"pwgsi","P","m"
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.654545454545455,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.487987012987013,0,0.1
1,0,0.1
1,0,0.1
0.525,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.6675,0,0.1
0.6675,0,0.1
0.565714285714286,0.001,0.1
0.654545454545455,0,0.1
0.732272727272727,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.905,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.6675,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
0.589772727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.905,0,0.1
0.905,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
0.612692307692308,0,0.1
